BP;Site;Wilaya;Code CNRC;Désignation CNRC;Code ONS;Désignation ONS;Andi;Ansej;Angem;Cnac;Opérations Intragroupe;Exportation ;Opérations de production de biens sans réfaction / Autres ; Activité de production de biens _Base Imposable (10%); Activité de production de biens  _Montant a payer (10%); Activité de production de biens  _Base Imposable(19%); Activité de production de biens  _Montant a payer (19%); Activités de bâtiment,de travaux publics et d´hydraulique ainsi que les activités touristiques et thermales à la l'exclusion des _Base Imposable (23%); Activités de bâtiment,de travaux publics et d´hydraulique ainsi que les activités touristiques et thermales à la l'exclusion des _Montant a payer(23%);Les activités de commerce et des services _Base Imposable(26%); Les activités de commerce et des services_Montant a payer(26%); Minimun d´imposition;Chiffre dàffaires net des Rabais, remises, ristounes;Solde clients;Provisions clients;Provisions Stocks;Stocks;Capitaux propres;Résultat net comptable de l’exercise;Dividendes distribués;Chiffre d’affaire (C.A);Résultat opérationnel;Sous-traitance générale;Consommations de l’exercice;Autres consommations;Autres services;Eléments extraordinaires (Charges);Résultat ordinaire;Produits financiers;Immobilisations financières;Perte Comptable;Résultat fiscal;Charges de personnel;Rémunérations dirigeants;Montant exonéré;Total ERA
2000046996;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29 375 384 424,00;0;0;0;6 223 574 097,00;-35 189 506 727,00;3 174 363 841,00;0;29 375 384 424,00;3 892 140 825,00;813 234 023,00;5 199 116 691,00;866 922,00;154 399 716,00;0;3 886 293 308,00;0;227 693 302,00;0;1 924 520 290,00;726 222 332,00;0;-;49 783 687 468,00
2000044989;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;-;-;X;0;0;0;0;0;0;712 111 217,73;185 148 916,61;0;11 661 393 346,00;11 338 775 452,00;2 717 027 895,00;0;0;7 831 484 196,00;447 240 679,00;422 500 000,00;11 661 393 346,00;1 499 023 788,00;0;453 371 241,00;30 598 175,00;105 273 145,00;0;678 351 500,00;3 782 500,00;68 362 137,00;0;712 111 217,00;390 861 753,00;45 012 676,00;0;50 066 563 046,00
2000044738;Direction des Grandes entreprises;DIW Sétif;/;/;/;/;X;-;-;-;-;X;X;0;0;456 013 350,00;86 642 537,00;0;0;0;0;0;12 653 556 852,00;1 879 935 907,00;16 594 605,00;0;2 861 763 629,00;5 229 831 382,00;553 980 809,00;0;12 653 556 852,00;679 996 422,00;0;11 212 083 026,00;79 893 491,00;372 052 987,00;0;640 623 346,00;221 438 899,00;705 027 316,00;0;640 655 346,00;380 050 303,00;0;184 641 996,00;50 781 041 172,00
2000045842;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;-;-;-;0;0;0;0;627 001 778,00;144 210 408,94;0;0;0;13 209 752 558,00;245 510 782,00;137 788 719,00;0;152 553 813,00;10 394 612 838,00;478 931 610,00;0;13 209 752 558,00;623 142 019,00;8 458 203 984,00;2 519 838 998,00;200 292 273,00;176 049 726,00;0;623 142 019,00;0;0;0;627 001 778,00;177 244 999,00;0;0;51 233 818 674,00
2000044549;Direction des Grandes entreprises;DIW Batna;/;/;/;/;X;X;-;-;-;-;X;0;0;12 008 186,37;2 281 555,41;0;0;0;0;0;5 161 529 237,00;6 754 213 632,00;0;20 304 165,00;9 581 384 806,00;19 284 792 044,00;177 093 442,00;0;5 161 529 237,00;193 630 119,00;434 427,00;2 634 615 021,00;0;91 222 195,00;0;179 374 997,00;1 336 566,00;258 637 540,00;179 374 997,00;12 008 186,00;1 737 771 899,00;0;0;51 429 252 510,00
2000044730;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12 101 222 624,00;9 159 323 433,00;927 460 515,00;0;14 148 215,00;3 519 583 257,00;440 688 251,00;200 000 000,00;12 101 222 624,00;816 923 189,00;0;9 875 336 019,00;0;18 694 932,00;0;648 621 180,00;0;114 801 248,00;0;818 408 281,00;942 745 832,00;0;-;51 699 179 600,00
2000044952;Direction des Grandes entreprises;DIW Mostaganem;/;/;/;/;-;-;-;-;X;-;-;0;0;1 131 915 110,00;215 063 871,00;0;0;0;0;0;12 402 437 685,00;1 324 724 771,00;719 263 896,00;129 293 949,00;964 828 313,00;10 314 212 311,00;927 461 066,00;0;12 413 908 977,00;1 738 251 757,00;12 332 069,00;7 234 957 577,00;171 629 851,00;89 030 826,00;0;1 169 026 040,00;33 933 593,00;408 844 738,00;0;1 131 915 110,00;948 460 237,00;0;0;52 134 512 766,00
2000044595;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;10 000,00;13 420 642 477,00;9 547 615 577,00;0;153 060 320,00;638 146 415,00;11 416 815 471,00;-1 728 206 490,00;0;13 422 119 935,00;-2 220 068 933,00;0;5 904 090 496,00;1 005 683 415,00;936 378 520,00;0;-1 962 968 123,00;387 879 635,00;66 036 373,00;1 728 206 490,00;-4 643 393 093,00;4 702 320 380,00;28 809 981,00;0;52 803 168 846,00
2000046267;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;10 000,00;2 929 819 984,00;5 385 000 987,00;0;0;8 101 917 613,00;18 036 882 337,00;2 021 876 167,00;0;2 929 819 984,00;-275 210 415,00;406 988 036,00;4 146 772 726,00;30 334 261,00;1 046 788 323,00;0;3 733 656 090,00;4 144 016 429,00;1 007 236 807,00;0;-758 805 707,00;326 539 258,00;0;0;53 213 632 880,00
2000045381;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8 909 595 855,00;10 100 995 709,00;966 470 660,00;124 938 816,00;4 032 069 160,00;8 191 791 640,00;501 071 583,00;109 250 000,00;8 909 595 855,00;845 504 743,00;421 995 429,00;6 603 372 680,00;26 743 071,00;127 927 423,00;0;625 225 102,00;23 997 363,00;203 676 050,00;0;704 838 646,00;1 861 695 127,00;56 719 473,00;-;53 347 474 385,00
2000046764;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;-;-;-;0;0;0;0;0;0;861 558 225,00;224 005 139,00;0;0;112 419 612,00;82 629 212,00;2 403 545,00;26 782 257,00;16 335 165 402,00;1 239 530 446,00;0;13 065 440 497,00;552 178 803,00;196 402 200,00;46 457 050,00;0;94 277 638,00;0;1 436 075 724,00;896 364 043,00;17 974 388 766,00;0;861 558 225,00;819 214 877,00;7 601 637,00;0;53 748 889 934,00
2000045254;Direction des Grandes entreprises;DIW Annaba;/;/;/;/;-;-;-;-;-;-;-;0;0;0;0;0;0;2 949 852 744,00;766 961 713,44;0;4 411 161 843,00;16 277 035 118,00;468 952 532,00;9 914 997,00;1 874 042 596,00;13 015 607 530,00;2 009 547 283,00;0;4 411 161 843,00;2 878 640 435,00;0;840 733 938,00;18 654 329,00;219 724 438,00;0;2 834 884 938,00;825 477,00;709 154 740,00;0;2 949 852 744,00;875 593 759,00;0;0;53 805 488 540,00
2000044756;Direction des Grandes entreprises;DIW Boumerdès;/;/;/;/;-;-;-;-;-;-;X;0;0;759 459 297,00;144 297 266,43;0;0;202 642 473,00;52 687 042,98;0;10 829 913 435,00;3 527 478 670,00;302 032 560,00;804 331 413,00;2 300 420 183,00;8 166 295 882,00;428 102 170,00;0;10 829 913 435,00;426 710 558,00;357 162 463,00;12 022 624 259,00;95 198 567,00;47 399 893,00;0;714 893 909,00;288 183 351,00;53 910 158,00;428 102 170,00;962 101 797,00;1 312 378 103,00;0;27;53 897 152 976,00
2000045574;Direction des Grandes entreprises;DIW Sidi Bel Abbes;/;/;/;/;X;-;-;-;X;-;X;-;-;-;-;-;-;-;-;-;9 869 857 108,00;10 931 206 050,00;0;0;3 163 636 468,00;8 458 015 390,00;878 351 852,00;0;9 869 857 108,00;881 086 115,00;2 198 577 823,00;4 673 242 433,00;46 719 444,00;172 663 783,00;0;879 738 513,00;7 007 118,00;119 843 957,00;0;878 351 852,00;1 316 398 108,00;31 354 769,00;-;54 375 907 891,00
2000045740;Direction des Grandes entreprises;DIW Alger centre;/;/;/;/;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;10 000,00;5 111 339 644,00;3 437 426 461,00;166 695 375,00;162 230 202,00;3 676 163 287,00;52 164 799 399,00;-8 811 834 604,00;0;5 111 339 644,00;-7 888 490 691,00;8 612 480,00;5 816 917 899,00;436 428 888,00;628 980 368,00;0;-8 784 099 123,00;792 892 090,00;3 935 586 509,00;8 811 834 604,00;-33 197 199 979,00;23 278 191 244,00;0;0;54 857 813 697,00
2000045255;Direction des Grandes entreprises;DIW Constantine;/;/;/;/;-;-;-;-;-;-;X;0;0;0;0;0;0;0;0;10 000,00;0;6 152 769 041,00;0;2 157 366 836,00;25 524 455 875,00;8 822 035 766,00;-867 434 045,00;0;6 231 308 010,00;-254 758 852,00;15 618 567,00;8 423 983 057,00;41 645 306,00;275 779 671,00;0;-867 695 812,00;337 520 682,00;6 042 998,00;0;-876 659 087,00;79 157 345,00;0;0;55 201 135 358,00
2000044930;Direction des Grandes entreprises;DIW Alger est;/;/;/;/;-;-;-;-;-;-;-;0;0;0;0;1 274 947 672,00;293 237 965,00;3 252 257 698,00;845 587 001,00;0;9 122 411 107,00;10 923 218 327,00;4 301 141 919,00;244 017 635,00;338 889 991,00;213 124 014,00;2 951 518 185,00;0;9 191 885 102,00;4 114 000 164,00;0;91 998 064,00;1 553 160 461,00;235 595 354,00;0;4 114 241 558,00;38 528 211,00;2 567 859 725,00;0;4 114 241 558,00;1 287 283 113,00;0;0;55 403 114 488,00
2000044688;Direction des Grandes entreprises;DIW Tizi Ouzou;/;/;/;/;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;14 852 501 289,00;3 501 373 471,00;84 831 373,00;121 790 893,00;3 187 190 758,00;2 477 527 339,00;533 098 196,00;0;15 847 182 155,00;779 206 425,00;38 990 372,00;13 339 631 255,00;6 005 084,00;21 713 330,00;0;724 792 510,00;63 786 195,00;288 051,00;0;764 566 146,00;297 584 823,00;0;-;56 642 059 665,00
